,date,country,local,industry_sector,accident_level,potential_accident_level,gender,employee_type,critical_risk,description,year,month,day,weekday,week_of_year,quarter,description_processed
0,2016-01-01,Country_01,1,Mining,1,IV,Male,Third Party,Pressed,"While removing the drill rod of the Jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.",2016,1,1,Friday,53,1,removing drill rod jumbo maintenance supervisor proceeds loosen intermediate centralizer facilitate removal seeing mechanic support end drill equipment pull hand bar accelerate removal bar slide point tightens finger mechanic drilling bar beam jumbo
1,2016-01-02,Country_02,2,Mining,1,IV,Male,Employee,Pressurized Systems,"During the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. Immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. Note: of sulphide solution = 48 grams / liter.",2016,1,2,Saturday,53,1,activation sodium sulphide pump piping uncoupled sulfide solution designed reach maid emergency shower directed ambulatory doctor later hospital note : sulphide solution gram liter
2,2016-01-06,Country_01,3,Mining,1,III,Male,Third Party (Remote),Manual Tools,"In the sub-station MILPO located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.",2016,1,6,Wednesday,1,1,substation milpo located level collaborator excavation pick hand tool hitting rock flat part beak bounce hitting steel tip safety shoe metatarsal left foot collaborator injury
3,2016-01-08,Country_01,4,Mining,1,I,Male,Third Party,Others,"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",2016,1,8,Friday,1,1,ob personnel begin task unlocking soquet bolt bhb machine penultimate bolt identified hexagonal head worn proceeding cristbal auxiliary assistant climb platform exert pressure hand dado key prevent coming bolt collaborator rotate lever anticlockwise direction leaving key bolt hitting palm left hand injury
4,2016-01-10,Country_01,4,Mining,4,IV,Male,Third Party,Others,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",2016,1,10,Sunday,1,1,mechanic anthony group leader eduardo eric fernndezinjuredthe three impromec removal pulley motor pump zaf marcy length : weight : locked proceed heating pulley loosen come fall distance high hit instep right foot worker injury
5,2016-01-12,Country_02,5,Metals,1,III,Male,Third Party (Remote),Pressurized Systems,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",2016,1,12,Tuesday,2,1,unloading operation ustulado bag need unclog discharge mouth silo truck procedure maneuver unhooking hose without total depressurisation mouth projecting ustulado powder collaborator caused irritation eye
6,2016-01-16,Country_02,5,Metals,1,III,Male,Employee,Fall prevention (same level),"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",2016,1,16,Saturday,2,1,collaborator report street holding left hand volumetric balloon slipped placing hand ground volumetric balloon ended breaking caused small wound left hand
7,2016-01-17,Country_01,4,Mining,1,III,Male,Third Party,Pressed,"At approximately 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.",2016,1,17,Sunday,2,1,mechanic technician jos tecnomin verified transmission belt hm pump acid plant proceeded turn pulley manually unexpectedly instant electrician supervisor miguel eka mining grab transmission belt verify tension point finger trap
8,2016-01-19,Country_02,2,Mining,1,IV,Male,Third Party (Remote),Others,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",2016,1,19,Tuesday,3,1,sitting resting level raise bore suffered sudden illness falling suffering excoriation face
9,2016-01-26,Country_01,6,Metals,1,II,Male,Third Party,Chemical substances,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",2016,1,26,Tuesday,4,1,forklift operator went manipulate big bag bioxide section front ladder lead manual displacement splashed spent height forehead fissure pipe g subsequently spilling left eye collaborator went nearby eyewash cleaning
10,2016-01-28,Country_01,3,Mining,1,III,Male,Employee,Others,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",2016,1,28,Thursday,4,1,installing segment polyurethane pulley protective lyner xxcm weighing head pulley ore winch pulley rotated compress lyner inside channel fall housing rubbing right side worker hip injury
11,2016-01-30,Country_01,3,Mining,1,IV,Male,Third Party,Others,"While preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",2016,1,30,Saturday,4,1,preparing rice lunch day moving pot weight including content evacuate residual water cooking rice positioning pot jaba tilt backwards spilling ml hot water cook leg cook applies first aid pouring cold water injury go post evaluation
12,2016-02-01,Country_02,5,Metals,1,I,Male,Employee,Liquid Metal,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,2016,2,1,Monday,5,1,collaborator report working ustulacin realized cyclone duct obstructed opened door try unclog material detached projected towards small burn right heel
13,2016-02-02,Country_01,1,Mining,4,V,Male,Third Party,Electrical installation,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",2016,2,2,Tuesday,5,1,operator jumbo tried energize equipment proceed installation split set intersection remove lock opening electric board v lifting thermomagnetic key make phase ground phase contact panel shell producing flash reach operator injury
14,2016-02-04,Country_02,5,Metals,1,III,Male,Employee,Confined space,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",2016,2,4,Thursday,5,1,accumulation waelz conveyor trailer filter fi cleaning shutter using air lance surprised fall product door passing neck collar aramid jacket burn neck shoulder
15,2016-02-04,Country_02,5,Metals,1,IV,Male,Employee,Liquid Metal,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",2016,2,4,Thursday,5,1,working thermal shock caused splash zinc direction despite using indicated ppe hit small spatter passed facila hood small burn face region
16,2016-02-06,Country_01,4,Mining,3,IV,Male,Third Party,Others,"At Rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants Jhonatan (injured) and Nilton were preparing to increase the HQ perforation pipe located on the scaffolding, Mr. Jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that Mr. Nilton lifts the end of the HQ pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",2016,2,6,Saturday,5,1,rp level worker task diamond drilling assistant jhonatan injured nilton preparing increase hq perforation pipe located scaffolding jhonatan lift end tube support pulley equipment frame end working scaffolding nilton lift end hq pipe scaffolding position frame upper part pipe come pulley falling striking right hand worker jhonatan bolt lateral part frame injury
17,2016-02-07,Country_01,6,Metals,1,II,Female,Third Party,Others,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",2016,2,7,Sunday,5,1,overheating bar row cell spark produced projected manages reach chief guard corridor producing first degree burn neck
18,2016-02-08,Country_01,6,Metals,1,II,Male,Employee,Others,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",2016,2,8,Monday,6,1,auxiliary wheel cathode crane g changed bearing heated hit hammer chisel end bearing track detachment bearing piece occurred impacting thigh right leg producing cut ambulance called transferred clinic
19,2016-02-21,Country_01,6,Metals,1,III,Male,Employee,Others,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",2016,2,21,Sunday,7,1,worker manuel making disconnection power cable gate intersection manco street cajamarquilla order remove jos worker removing rope tied body gate yield fall pulling warning post hit helmet standing side
20,2016-02-25,Country_01,6,Metals,1,II,Male,Third Party,Others,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",2016,2,25,Thursday,8,1,operator samuel open container subsequent loading silver concentrate opened first gate afterwards try open second door product opening latter first open impact handle safety lens generates injury left cheekbone face operator
21,2016-02-09,Country_01,3,Mining,1,IV,Male,Third Party,Others,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",2016,2,9,Tuesday,6,1,raise chamber operator assistant removed drilling bar r drilling machine weight holding top tm stroke assisted jib move horizontally operator jib bottom slide moving top drill bar assistant bar enforce assistant hand bar piston equipment
22,2016-02-10,Country_01,3,Mining,2,IV,Male,Third Party,Others,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",2016,2,10,Wednesday,6,1,aligning right bracket tower n releasing tension applied tirford pushing lever towards tension release point return mechanical effect overcoming resistance lineman operator reshaping hand assistant beating assistant frontal region
23,2016-02-15,Country_02,2,Mining,2,II,Male,Third Party (Remote),Others,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",2016,2,15,Monday,7,1,loosening truck steering cylinder bolt using power cable socket force exerted favor equipment bolt suddenly retired hit hand structure equipment injury
24,2016-02-14,Country_01,6,Metals,1,II,Male,Third Party,Others,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",2016,2,14,Sunday,6,1,operator g deslaminadora section unlocking sheet zinc stuck enter slide stacking table requires mollares help hold sheet place entry chute slide releasing blade tilted brushed mollaress left leg collaborator went nearby eyewash cleaning
